Date,Open,High,Low,Close,Adj,CloseVolume
1985-07-01,4.140625,4.781250,4.140625,4.609375,0.553496,56462400
1985-08-01,4.671875,4.734375,4.437500,4.500000,0.542220,27832800
1985-09-01,4.500000,4.625000,4.125000,4.421875,0.532806,23442400
1985-10-01,4.421875,4.703125,4.296875,4.437500,0.534689,33305600
1985-11-01,4.437500,5.015625,4.406250,4.984375,0.602634,58203200
1985-12-01,4.984375,5.390625,4.921875,5.250000,0.634749,57267200
1986-01-01,5.250000,5.875000,4.906250,5.718750,0.691423,54699200
1986-02-01,5.718750,6.390625,5.609375,6.343750,0.786197,71880000
1986-03-01,6.343750,6.703125,6.250000,6.578125,0.815245,62248000
1986-04-01,6.578125,6.921875,5.937500,6.625000,0.821054,62166400
1986-05-01,6.625000,6.890625,6.203125,6.781250,0.857787,53789600
1986-06-01,6.750000,6.750000,6.109375,6.218750,0.786634,41998400
1986-07-01,6.218750,6.609375,5.125000,5.578125,0.705599,83871200
1986-08-01,5.578125,6.296875,5.531250,6.234375,0.805932,44971200
1986-09-01,6.250000,6.421875,4.640625,4.734375,0.612023,89584000
1986-10-01,4.734375,4.984375,4.578125,4.984375,0.644342,68347200
1986-11-01,4.984375,5.062500,4.640625,4.953125,0.657931,54120000
1986-12-01,4.953125,5.218750,4.765625,5.015625,0.666233,43416000
1987-01-01,5.015625,5.687500,4.984375,5.437500,0.722272,63160800
1987-02-01,5.437500,6.140625,5.406250,5.734375,0.780375,54317600
1987-03-01,5.734375,6.171875,5.578125,6.031250,0.820776,63999200
1987-04-01,6.031250,6.546875,5.609375,6.015625,0.818650,62464000
1987-05-01,6.015625,7.156250,6.000000,6.484375,0.901409,84152000
1987-06-01,6.531250,7.000000,6.484375,6.687500,0.929646,45974400
1987-07-01,6.687500,8.234375,6.390625,8.109375,1.127304,96547200
1987-08-01,8.109375,8.390625,7.687500,7.734375,1.093526,77768000
1987-09-01,7.734375,9.343750,7.531250,9.187500,1.298976,97336000
1987-10-01,9.187500,9.234375,5.187500,6.218750,0.879239,132986400
1987-11-01,6.218750,7.656250,6.187500,7.093750,1.023209,95615200
1987-12-01,7.093750,8.125000,6.625000,7.750000,1.117867,76766400
1988-01-01,7.750000,8.265625,6.984375,7.281250,1.050254,85647200
1988-02-01,7.296875,8.125000,7.156250,8.125000,1.201963,56643200
1988-03-01,8.125000,8.453125,7.609375,7.796875,1.153421,58980000
1988-04-01,7.796875,8.562500,7.593750,7.843750,1.160356,51712000
1988-05-01,7.812500,7.968750,7.296875,7.750000,1.174931,48728000
1988-06-01,7.796875,8.562500,7.796875,8.468750,1.283896,61189600
1988-07-01,8.468750,8.468750,7.578125,7.781250,1.179669,48480000
1988-08-01,7.796875,7.921875,6.765625,6.953125,1.079338,65600000
1988-09-01,6.937500,7.265625,6.734375,7.187500,1.115720,51588800
1988-10-01,7.187500,8.015625,7.125000,7.718750,1.198187,61856000
1988-11-01,7.718750,8.093750,7.437500,7.921875,1.261886,40532000
1988-12-01,7.921875,8.046875,7.640625,7.953125,1.266863,40292800
1989-01-01,7.953125,8.625000,7.375000,7.734375,1.232018,160438400
1989-02-01,7.734375,7.734375,7.328125,7.343750,1.213004,69296800
1989-03-01,7.343750,7.359375,7.015625,7.140625,1.179453,69460800
